2.1732516190000001e+03	6.7647000000000002e-01
2.1741635449999999e+03	6.7688000000000004e-01
2.1750762359999999e+03	6.7723999999999995e-01
2.1759896950000002e+03	6.7757000000000001e-01
2.1769039200000002e+03	6.7786000000000002e-01
2.1778189139999999e+03	6.7815999999999999e-01
2.1787299309999999e+03	6.7847000000000002e-01
2.1796464609999998e+03	6.7874999999999996e-01
2.1805637630000001e+03	6.7900000000000005e-01
2.1814818369999998e+03	6.7920999999999998e-01
2.1824006840000002e+03	6.7940000000000000e-01
2.1833203060000001e+03	6.7957999999999996e-01
2.1842407029999999e+03	6.7976000000000003e-01
2.1851571020000001e+03	6.7995000000000005e-01
2.1860790489999999e+03	6.8013999999999997e-01
2.1870017739999998e+03	6.8030999999999997e-01
2.1879252780000002e+03	6.8045999999999995e-01
2.1888495630000002e+03	6.8061000000000005e-01
2.1897698329999998e+03	6.8079000000000001e-01
2.1906956770000002e+03	6.8101000000000000e-01
2.1916223049999999e+03	6.8128000000000000e-01
2.1925497160000000e+03	6.8161000000000005e-01
2.1934779130000002e+03	6.8198000000000003e-01
2.1944068960000000e+03	6.8235999999999997e-01
2.1953366660000002e+03	6.8272999999999995e-01
2.1962624010000000e+03	6.8306000000000000e-01
2.1971937440000002e+03	6.8335000000000001e-01
2.1981258779999998e+03	6.8362000000000001e-01
2.1990588029999999e+03	6.8386999999999998e-01
2.1999925199999998e+03	6.8408999999999998e-01
2.2009270299999998e+03	6.8428999999999995e-01
2.2018623349999998e+03	6.8447000000000002e-01
2.2027935830000001e+03	6.8461000000000005e-01
2.2037304749999998e+03	6.8474000000000002e-01
2.2046681640000002e+03	6.8491000000000002e-01
2.2056066519999999e+03	6.8513000000000002e-01
2.2065459390000001e+03	6.8540999999999996e-01
2.2074860269999999e+03	6.8574000000000002e-01
2.2084269150000000e+03	6.8606999999999996e-01
2.2093637250000002e+03	6.8635000000000002e-01
2.2103062159999999e+03	6.8662000000000001e-01
2.2112495110000000e+03	6.8683000000000005e-01
2.2121936110000001e+03	6.8698000000000004e-01
2.2131385180000002e+03	6.8716999999999995e-01
2.2140842330000000e+03	6.8742999999999999e-01
2.2150258490000001e+03	6.8772999999999995e-01
2.2159731780000002e+03	6.8806000000000000e-01
2.2169213169999998e+03	6.8842999999999999e-01
2.2178702680000001e+03	6.8876000000000004e-01
2.2188200320000001e+03	6.8899999999999995e-01
2.2197706090000001e+03	6.8918000000000001e-01
2.2207220010000001e+03	6.8932000000000004e-01
2.2216692730000000e+03	6.8945000000000001e-01
2.2226222939999998e+03	6.8960999999999995e-01
2.2235761330000000e+03	6.8983000000000005e-01
2.2245307910000001e+03	6.9011000000000000e-01
2.2254862690000000e+03	6.9040999999999997e-01
2.2264425679999999e+03	6.9072000000000000e-01
2.2273996889999999e+03	6.9101999999999997e-01
2.2283526680000000e+03	6.9127000000000005e-01
2.2293114329999999e+03	6.9149000000000005e-01
2.2302710229999998e+03	6.9167000000000001e-01
2.2312314390000001e+03	6.9182999999999995e-01
2.2321926830000002e+03	6.9196000000000002e-01
2.2331547550000000e+03	6.9206999999999996e-01
2.2341176580000001e+03	6.9218999999999997e-01
2.2350763950000000e+03	6.9230000000000003e-01
2.2360409549999999e+03	6.9242999999999999e-01
2.2370063489999998e+03	6.9257999999999997e-01
2.2379725760000001e+03	6.9274999999999998e-01
2.2389396379999998e+03	6.9294000000000000e-01
2.2399075370000000e+03	6.9313999999999998e-01
2.2408762720000000e+03	6.9333999999999996e-01
2.2418408199999999e+03	6.9355000000000000e-01
2.2428112289999999e+03	6.9379999999999997e-01
2.2437824790000000e+03	6.9408000000000003e-01
2.2447545700000001e+03	6.9435000000000002e-01
2.2457275030000001e+03	6.9462000000000002e-01
2.2466962330000001e+03	6.9484000000000001e-01
2.2476708509999999e+03	6.9494000000000000e-01
2.2486463150000000e+03	6.9499000000000000e-01
2.2496226259999999e+03	6.9501000000000002e-01
2.2505997849999999e+03	6.9503000000000004e-01
2.2515777929999999e+03	6.9508000000000003e-01
2.2525566520000002e+03	6.9520000000000004e-01
2.2535312840000001e+03	6.9535999999999998e-01
2.2545118419999999e+03	6.9554000000000005e-01
2.2554932540000000e+03	6.9572000000000001e-01
2.2564755209999998e+03	6.9588000000000005e-01
2.2574586429999999e+03	6.9603000000000004e-01
2.2584426229999999e+03	6.9616000000000000e-01
