surface,atmosphere,logZ,logZ_err,ΔlnZ,bayes_factor
albite_dust,bare_rock,-63.47017027102035,0.1881261195461666,-50.81003984779052,8.579857380758762e-23
andesite,bare_rock,-19.101617273020015,0.02007405917684722,-6.441486849790188,0.0015940348274058056
basalt_glass,bare_rock,-14.026875180686346,0.021777581544905604,-1.3667447574565195,0.25493548713561764
basalt_large,bare_rock,-15.388049653006266,0.03947019014424201,-2.7279192297764396,0.0653551373089198
basalt_small,bare_rock,-16.34411246328293,0.04132802170690253,-3.6839820400531025,0.025122735649855177
basalt_tuff,bare_rock,-14.294194308955635,0.032044050858269946,-1.6340638857258085,0.1951349544427533
diorite,bare_rock,-15.710251920384383,0.0459632454157165,-3.0501214971545565,0.04735317076611616
gabbro,bare_rock,-14.23162763834403,0.019439806524692446,-1.5714972151142028,0.20773392703179097
granite,bare_rock,-15.2351897765503,0.03343004890127938,-2.575059353320473,0.07614930295049586
harzburgite,bare_rock,-18.040463507382533,0.04899630960122937,-5.380333084152706,0.004606287393108525
hematite,bare_rock,-12.660130423229827,0.02638394047610209,0.0,1.0
lherzolite,bare_rock,-15.041119516235113,0.024462242282144105,-2.3809890930052866,0.09245908163791551
lunar_anorthosite,bare_rock,-25.25287772414773,0.10084628486775862,-12.592747300917903,3.396560347500532e-06
lunar_marebasalt,bare_rock,-15.611516978711597,0.0320317820091103,-2.95138655548177,0.05226718433147691
magnesium_sulphate,bare_rock,-60.49294566673077,0.17752026566870427,-47.832815243500946,1.684504928028034e-21
mars_basalticshergottite,bare_rock,-14.492465207730602,0.028418618302580443,-1.832334784500775,0.16003947354805803
mars_breccia,bare_rock,-28.838582839490588,0.027437528451687183,-16.17845241626076,9.414286046030615e-08
norite,bare_rock,-14.804325279616748,0.028251094494667665,-2.144194856386921,0.11716233158167655
phonolite,bare_rock,-14.096386195530641,0.02039846970781831,-1.4362557723008145,0.23781653300728037
pyrite,bare_rock,-13.1407889177876,0.026697410991154327,-0.48065849455777254,0.6183760604376599
rhyolite,bare_rock,-17.331183075038798,0.061037107961176486,-4.671052651808971,0.009362408981305446
syenite,bare_rock,-14.737530239924688,0.0527263948017075,-2.077399816694861,0.12525547634058662
tephrite,bare_rock,-13.098568565613206,0.019095940617568474,-0.4384381423833794,0.6450431002128832
tholeiitic_basalt,bare_rock,-24.699123357973086,0.01769679167468572,-12.03899293474326,5.909242338126047e-06
trachy_andesite,bare_rock,-15.304275672487574,0.05968921007713079,-2.644145249257747,0.07106607156405592
