0.12,0.0065
0.122,-0.0011
0.124,0.0102
0.126,0.0095
0.128,0.0028
0.13,0.0078
0.132,0.0140
0.134,0.0125
0.136,0.0057
0.138,0.0074
0.14,0.0057
0.142,0.0076
0.144,0.0084
0.146,0.0061
0.148,0.0077
0.15,0.0076
0.152,0.0080
0.154,0.0078
0.156,0.0083
0.158,0.0087
0.16,0.0090
0.162,0.0097
0.164,0.0102
0.166,0.0122
0.168,0.0143
0.17,0.0128
0.172,0.0128
0.174,0.0099
0.176,0.0146
0.178,0.0134
0.18,0.0130
0.182,0.0148
0.184,0.0181
0.186,0.0170
0.188,0.0180
0.19,0.0227
0.192,0.0232
0.194,0.0217
0.196,0.0195
0.198,0.0224
0.2,0.0192
0.202,0.0210
0.204,0.0198
0.206,0.0235
0.208,0.0254
0.21,0.0237
0.212,0.0231
0.214,0.0214
0.216,0.0234
0.218,0.0233
0.22,0.0242
0.222,0.0221
0.224,0.0247
0.226,0.0239
0.228,0.0228
0.23,0.0236
0.232,0.0207
0.234,0.0220
0.236,0.0206
0.238,0.0225
0.24,0.0239
0.242,0.0254
0.244,0.0249
0.246,0.0225
0.248,0.0183
0.25,0.0217
0.252,0.0239
0.254,0.0224
0.256,0.0198
0.258,0.0206
0.26,0.0243
0.262,0.0246
0.264,0.0224
0.266,0.0180
0.268,0.0205
0.27,0.0216
0.272,0.0215
0.274,0.0191
0.276,0.0211
0.278,0.0205
0.28,0.0187
0.282,0.0234
0.284,0.0220
0.286,0.0216
0.288,0.0223
0.29,0.0225
0.292,0.0215
0.294,0.0207
0.296,0.0220
0.298,0.0207
0.3,0.0173
0.302,0.0197
0.304,0.0210
0.306,0.0177
0.308,0.0195
0.31,0.0212
0.312,0.0217
0.314,0.0221
0.316,0.0203
0.318,0.0218
0.32,0.0208
0.322,0.0198
0.324,0.0204
0.326,0.0208
0.328,0.0201
0.33,0.0203
0.332,0.0206
0.334,0.0200
0.336,0.0198
0.338,0.0186
0.34,0.0189
0.342,0.0196
0.344,0.0198
0.346,0.0199
0.348,0.0196
0.35,0.0195
0.352,0.0195
0.354,0.0195
0.356,0.0200
0.358,0.0200
0.36,0.0204
0.362,0.0205
0.364,0.0213
0.366,0.0214
0.368,0.0214
0.37,0.0223
0.372,0.0232
0.374,0.0238
0.376,0.0235
0.378,0.0231
0.38,0.0236
0.382,0.0245
0.384,0.0246
0.386,0.0242
0.388,0.0247
0.39,0.0250
0.392,0.0251
0.394,0.0254
0.396,0.0254
0.398,0.0254
0.4,0.0256
0.402,0.0258
0.404,0.0259
0.406,0.0262
0.408,0.0268
0.41,0.0268
0.412,0.0264
0.414,0.0265
0.416,0.0266
0.418,0.0265
0.42,0.0268
0.422,0.0269
0.424,0.0267
0.426,0.0267
0.428,0.0266
0.43,0.0267
0.432,0.0267
0.434,0.0268
0.436,0.0267
0.438,0.0265
0.44,0.0265
0.442,0.0264
0.444,0.0263
0.446,0.0265
0.448,0.0266
0.45,0.0264
0.452,0.0261
0.454,0.0259
0.456,0.0260
0.458,0.0260
0.46,0.0257
0.462,0.0256
0.464,0.0255
0.466,0.0257
