#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          386506          250194          3.09316e-06             
1       0.24506125        0.245030625          6.12576563e-05     377623          244346          3.09191e-06             
2       0.245122515       0.245091883          6.12729707e-05     368739          238501          3.09067e-06             
3       0.245183796       0.245153156          6.12882889e-05     359852          232659          3.08942e-06             
4       0.245245092       0.245214444          6.1303611e-05      350963          226821          3.08817e-06             
5       0.245306403       0.245275748          6.13189369e-05     342072          220985          3.08693e-06             
6       0.24536773        0.245337066          6.13342666e-05     333179          215153          3.08568e-06             
7       0.245429072       0.245398401          6.13496002e-05     324283          209324          3.08443e-06             
8       0.245490429       0.24545975           6.13649376e-05     315385          203498          3.08318e-06             
9       0.245551802       0.245521115          6.13802788e-05     306485          197675          3.08193e-06             
10      0.24561319        0.245582496          6.13956239e-05     297583          191856          3.08069e-06             
11      0.245674593       0.245643891          6.14109728e-05     293069          188869          3.07944e-06             
12      0.245736011       0.245705302          6.14263255e-05     297013          191333          3.07819e-06             
13      0.245797445       0.245766728          6.14416821e-05     301170          193932          3.07694e-06             
14      0.245858895       0.24582817           6.14570425e-05     305328          196529          3.07569e-06             
15      0.24592036        0.245889627          6.14724068e-05     309486          199125          3.07444e-06             
16      0.24598184        0.2459511            6.14877749e-05     313646          201719          3.07319e-06             
17      0.246043335       0.246012587          6.15031468e-05     317807          204312          3.07194e-06             
18      0.246104846       0.246074091          6.15185226e-05     321968          206903          3.07069e-06             
19      0.246166372       0.246135609          6.15339023e-05     326131          209493          3.06943e-06             
20      0.246227914       0.246197143          6.15492857e-05     330295          212081          3.06818e-06             
21      0.246289471       0.246258692          6.15646731e-05     334460          214668          3.06693e-06             
22      0.246351043       0.246320257          6.15800642e-05     338626          217253          3.06568e-06             
23      0.246412631       0.246381837          6.15954592e-05     342793          219837          3.06443e-06             
24      0.246474234       0.246443432          6.16108581e-05     346961          222419          3.06317e-06             
25      0.246535853       0.246505043          6.16262608e-05     351130          224999          3.06192e-06             
26      0.246597487       0.24656667           6.16416674e-05     355300          227578          3.06067e-06             
