#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          491919          307228          3.79827e-06             
1       0.24506125        0.245030625          6.12576563e-05     480614          300024          3.79646e-06             
2       0.245122515       0.245091883          6.12729707e-05     469306          292825          3.79464e-06             
3       0.245183796       0.245153156          6.12882889e-05     457996          285631          3.79283e-06             
4       0.245245092       0.245214444          6.1303611e-05      446683          278443          3.79101e-06             
5       0.245306403       0.245275748          6.13189369e-05     435367          271259          3.78919e-06             
6       0.24536773        0.245337066          6.13342666e-05     424048          264080          3.78738e-06             
7       0.245429072       0.245398401          6.13496002e-05     412726          256906          3.78556e-06             
8       0.245490429       0.24545975           6.13649376e-05     401402          249737          3.78374e-06             
9       0.245551802       0.245521115          6.13802788e-05     390074          242573          3.78193e-06             
10      0.24561319        0.245582496          6.13956239e-05     378744          235414          3.78011e-06             
11      0.245674593       0.245643891          6.14109728e-05     372999          231732          3.77829e-06             
12      0.245736011       0.245705302          6.14263255e-05     378019          234737          3.77648e-06             
13      0.245797445       0.245766728          6.14416821e-05     383309          237908          3.77466e-06             
14      0.245858895       0.24582817           6.14570425e-05     388601          241076          3.77284e-06             
15      0.24592036        0.245889627          6.14724068e-05     393894          244242          3.77102e-06             
16      0.24598184        0.2459511            6.14877749e-05     399188          247405          3.7692e-06              
17      0.246043335       0.246012587          6.15031468e-05     404483          250566          3.76739e-06             
18      0.246104846       0.246074091          6.15185226e-05     409780          253725          3.76557e-06             
19      0.246166372       0.246135609          6.15339023e-05     415078          256881          3.76375e-06             
20      0.246227914       0.246197143          6.15492857e-05     420378          260035          3.76193e-06             
21      0.246289471       0.246258692          6.15646731e-05     425678          263187          3.76011e-06             
22      0.246351043       0.246320257          6.15800642e-05     430981          266336          3.75829e-06             
23      0.246412631       0.246381837          6.15954592e-05     436284          269483          3.75647e-06             
24      0.246474234       0.246443432          6.16108581e-05     441589          272627          3.75465e-06             
25      0.246535853       0.246505043          6.16262608e-05     446895          275770          3.75284e-06             
26      0.246597487       0.24656667           6.16416674e-05     452202          278909          3.75102e-06             
27      0.246659136       0.246628311          6.16570778e-05     458635          282740          3.7492e-06              
28      0.246720801       0.246689968          6.16724921e-05     467022          287770          3.74738e-06             
29      0.246782481       0.246751641          6.16879102e-05     475445          292819          3.74556e-06             
30      0.246844177       0.246813329          6.17033322e-05     483871          297863          3.74374e-06             
31      0.246905888       0.246875032          6.1718758e-05      492300          302904          3.74192e-06             
32      0.246967614       0.246936751          6.17341877e-05     500730          307941          3.7401e-06              
33      0.247029356       0.246998485          6.17496212e-05     509162          312975          3.73828e-06             
34      0.247091113       0.247060235          6.17650586e-05     517597          318004          3.73646e-06             
35      0.247152886       0.247122             6.17804999e-05     526033          323030          3.73463e-06             
