#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
80      0.249948704       0.249917468          6.24793669e-05     607334          364736          4.2503e-06              
81      0.250011191       0.249979947          6.24949868e-05     603787          362425          4.24818e-06             
82      0.250073694       0.250042442          6.25106105e-05     600240          360115          4.24605e-06             
83      0.250136212       0.250104953          6.25262382e-05     596692          357807          4.24393e-06             
84      0.250198746       0.250167479          6.25418697e-05     593143          355501          4.2418e-06              
85      0.250261296       0.250230021          6.25575052e-05     589593          353196          4.23968e-06             
86      0.250323861       0.250292578          6.25731446e-05     586043          350893          4.23755e-06             
87      0.250386442       0.250355151          6.25887879e-05     582491          348592          4.23542e-06             
88      0.250449039       0.25041774           6.26044351e-05     578939          346292          4.2333e-06              
89      0.250511651       0.250480345          6.26200862e-05     575385          343994          4.23117e-06             
90      0.250574279       0.250542965          6.26357412e-05     571831          341697          4.22905e-06             
91      0.250636922       0.250605601          6.26514001e-05     574946          343385          4.22692e-06             
92      0.250699582       0.250668252          6.2667063e-05      585575          349558          4.22479e-06             
93      0.250762256       0.250730919          6.26827297e-05     596214          355730          4.22267e-06             
94      0.250824947       0.250793602          6.26984004e-05     606856          361897          4.22054e-06             
95      0.250887653       0.2508563            6.2714075e-05      617500          368059          4.21841e-06             
96      0.250950375       0.250919014          6.27297535e-05     628147          374216          4.21629e-06             
97      0.251013113       0.250981744          6.2745436e-05      638797          380369          4.21416e-06             
98      0.251075866       0.251044489          6.27611223e-05     649449          386516          4.21204e-06             
99      0.251138635       0.251107251          6.27768126e-05     660104          392659          4.20991e-06             
100     0.25120142        0.251170027          6.27925068e-05     670761          398797          4.20778e-06             
101     0.25126422        0.25123282           6.2808205e-05      681422          404931          4.20565e-06             
102     0.251327036       0.251295628          6.2823907e-05      692084          411059          4.20353e-06             
103     0.251389868       0.251358452          6.2839613e-05      702750          417182          4.2014e-06              
104     0.251452715       0.251421292          6.28553229e-05     713418          423301          4.19927e-06             
105     0.251515578       0.251484147          6.28710367e-05     724089          429415          4.19715e-06             
106     0.251578457       0.251547018          6.28867545e-05     734763          435524          4.19502e-06             
107     0.251641352       0.251609905          6.29024762e-05     753264          446264          4.19289e-06             
108     0.251704262       0.251672807          6.29182018e-05     779613          461640          4.19076e-06             
109     0.251767188       0.251735725          6.29339313e-05     805968          477003          4.18864e-06             
110     0.25183013        0.251798659          6.29496648e-05     832330          492355          4.18651e-06             
111     0.251893088       0.251861609          6.29654022e-05     858698          507695          4.18438e-06             
112     0.251956061       0.251924574          6.29811436e-05     885073          523022          4.18225e-06             
113     0.25201905        0.251987555          6.29968889e-05     911454          538338          4.18013e-06             
114     0.252082055       0.252050552          6.30126381e-05     937842          553642          4.178e-06               
115     0.252145075       0.252113565          6.30283913e-05     964237          568934          4.17587e-06             
116     0.252208112       0.252176593          6.30441484e-05     990638          584214          4.17374e-06             
117     0.252271164       0.252239638          6.30599094e-05     1.01705e+06     599481          4.17161e-06             
118     0.252334231       0.252302697          6.30756744e-05     1.04346e+06     614737          4.16949e-06             
119     0.252397315       0.252365773          6.30914433e-05     1.06988e+06     629981          4.16736e-06             
120     0.252460414       0.252428865          6.31072161e-05     1.09631e+06     645213          4.16523e-06             
121     0.252523529       0.252491972          6.31229929e-05     1.12274e+06     660432          4.1631e-06              
122     0.25258666        0.252555095          6.31387737e-05     1.14922e+06     675660          4.16097e-06             
123     0.252649807       0.252618234          6.31545584e-05     1.21615e+06     714646          4.15884e-06             
124     0.252712969       0.252681388          6.3170347e-05      1.31915e+06     774776          4.15672e-06             
125     0.252776148       0.252744558          6.31861396e-05     1.42218e+06     834860          4.15459e-06             
126     0.252839342       0.252807745          6.32019362e-05     1.52523e+06     894897          4.15246e-06             
127     0.252902551       0.252870947          6.32177366e-05     1.62831e+06     954887          4.15033e-06             
128     0.252965777       0.252934164          6.32335411e-05     1.73142e+06     1.01483e+06     4.1482e-06              
129     0.253029019       0.252997398          6.32493495e-05     1.83455e+06     1.07473e+06     4.14607e-06             
130     0.253092276       0.253060647          6.32651618e-05     1.93771e+06     1.13457e+06     4.14394e-06             
131     0.253155549       0.253123912          6.32809781e-05     2.04089e+06     1.19438e+06     4.14182e-06             
132     0.253218838       0.253187193          6.32967983e-05     2.1441e+06      1.25413e+06     4.13969e-06             
133     0.253282142       0.25325049           6.33126225e-05     2.24733e+06     1.31384e+06     4.13756e-06             
134     0.253345463       0.253313803          6.33284507e-05     2.35059e+06     1.3735e+06      4.13543e-06             
135     0.253408799       0.253377131          6.33442828e-05     2.45388e+06     1.43312e+06     4.1333e-06              
136     0.253472152       0.253440475          6.33601189e-05     2.55719e+06     1.49268e+06     4.13117e-06             
137     0.25353552        0.253503836          6.33759589e-05     2.66053e+06     1.5522e+06      4.12904e-06             
138     0.253598903       0.253567212          6.33918029e-05     2.76379e+06     1.61161e+06     4.12691e-06             
139     0.253662303       0.253630603          6.34076508e-05     2.83406e+06     1.65174e+06     4.12478e-06             
140     0.253725719       0.253694011          6.34235028e-05     2.87806e+06     1.67652e+06     4.12265e-06             
141     0.25378915        0.253757435          6.34393586e-05     2.92207e+06     1.70128e+06     4.12053e-06             
142     0.253852598       0.253820874          6.34552185e-05     2.9661e+06      1.72601e+06     4.1184e-06              
143     0.253916061       0.253884329          6.34710823e-05     3.01013e+06     1.75073e+06     4.11627e-06             
144     0.25397954        0.2539478            6.348695e-05       3.05418e+06     1.77543e+06     4.11414e-06             
145     0.254043035       0.254011287          6.35028218e-05     3.09823e+06     1.80011e+06     4.11201e-06             
146     0.254106545       0.25407479           6.35186975e-05     3.1423e+06      1.82477e+06     4.10988e-06             
147     0.254170072       0.254138309          6.35345772e-05     3.18638e+06     1.84941e+06     4.10775e-06             
148     0.254233614       0.254201843          6.35504608e-05     3.23047e+06     1.87403e+06     4.10562e-06             
149     0.254297173       0.254265394          6.35663484e-05     3.27457e+06     1.89863e+06     4.10349e-06             
150     0.254360747       0.25432896           6.358224e-05       3.31869e+06     1.9232e+06      4.10136e-06             
151     0.254424337       0.254392542          6.35981356e-05     3.36281e+06     1.94776e+06     4.09923e-06             
152     0.254487943       0.25445614           6.36140351e-05     3.40694e+06     1.9723e+06      4.0971e-06              
153     0.254551565       0.254519754          6.36299386e-05     3.45109e+06     1.99682e+06     4.09497e-06             
154     0.254615203       0.254583384          6.36458461e-05     3.49465e+06     2.02097e+06     4.09284e-06             
155     0.254678857       0.25464703           6.36617576e-05     3.45079e+06     1.99457e+06     4.09071e-06             
156     0.254742527       0.254710692          6.3677673e-05      3.34454e+06     1.93215e+06     4.08858e-06             
157     0.254806212       0.25477437           6.36935924e-05     3.23827e+06     1.86978e+06     4.08646e-06             
158     0.254869914       0.254838063          6.37095158e-05     3.13196e+06     1.80746e+06     4.08433e-06             
159     0.254933631       0.254901773          6.37254432e-05     3.02564e+06     1.74519e+06     4.0822e-06              
160     0.254997365       0.254965498          6.37413745e-05     2.91928e+06     1.68296e+06     4.08007e-06             
161     0.255061114       0.25502924           6.37573099e-05     2.8129e+06      1.62079e+06     4.07794e-06             
162     0.25512488        0.255092997          6.37732492e-05     2.70649e+06     1.55866e+06     4.07581e-06             
163     0.255188661       0.25515677           6.37891925e-05     2.60005e+06     1.49658e+06     4.07368e-06             
164     0.255252458       0.255220559          6.38051398e-05     2.49359e+06     1.43455e+06     4.07155e-06             
165     0.255316271       0.255284364          6.38210911e-05     2.3871e+06      1.37257e+06     4.06942e-06             
166     0.2553801         0.255348186          6.38370464e-05     2.28059e+06     1.31064e+06     4.06729e-06             
167     0.255443945       0.255412023          6.38530056e-05     2.17405e+06     1.24876e+06     4.06516e-06             
168     0.255507806       0.255475876          6.38689689e-05     2.06748e+06     1.18692e+06     4.06303e-06             
169     0.255571683       0.255539745          6.38849361e-05     1.96089e+06     1.12514e+06     4.0609e-06              
170     0.255635576       0.25560363           6.39009074e-05     1.85484e+06     1.06373e+06     4.05877e-06             
171     0.255699485       0.25566753           6.39168826e-05     1.79794e+06     1.03056e+06     4.05664e-06             
172     0.25576341        0.255731447          6.39328618e-05     1.77256e+06     1.01548e+06     4.05451e-06             
173     0.255827351       0.25579538           6.3948845e-05      1.74718e+06     1.00041e+06     4.05238e-06             
174     0.255891307       0.255859329          6.39648323e-05     1.72178e+06     985353          4.05025e-06             
175     0.25595528        0.255923294          6.39808235e-05     1.69639e+06     970308          4.04812e-06             
176     0.256019269       0.255987275          6.39968187e-05     1.67098e+06     955274          4.04599e-06             
177     0.256083274       0.256051271          6.40128179e-05     1.64557e+06     940252          4.04386e-06             
178     0.256147295       0.256115284          6.40288211e-05     1.62015e+06     925241          4.04173e-06             
179     0.256211332       0.256179313          6.40448283e-05     1.59473e+06     910242          4.0396e-06              
180     0.256275384       0.256243358          6.40608395e-05     1.5693e+06      895255          4.03747e-06             
181     0.256339453       0.256307419          6.40768547e-05     1.54386e+06     880279          4.03535e-06             
182     0.256403538       0.256371496          6.40928739e-05     1.51842e+06     865316          4.03322e-06             
183     0.256467639       0.256435589          6.41088971e-05     1.49297e+06     850363          4.03109e-06             
184     0.256531756       0.256499697          6.41249244e-05     1.46752e+06     835423          4.02896e-06             
185     0.256595889       0.256563822          6.41409556e-05     1.44205e+06     820494          4.02683e-06             
186     0.256660038       0.256627963          6.41569908e-05     1.41705e+06     805842          4.0247e-06              
187     0.256724203       0.25669212           6.41730301e-05     1.41837e+06     806163          4.02257e-06             
188     0.256788384       0.256756293          6.41890733e-05     1.43488e+06     815119          4.02044e-06             
189     0.256852581       0.256820482          6.42051206e-05     1.4514e+06      824068          4.01831e-06             
190     0.256916794       0.256884688          6.42211719e-05     1.46793e+06     833009          4.01618e-06             
191     0.256981023       0.256948909          6.42372272e-05     1.48446e+06     841943          4.01405e-06             
192     0.257045269       0.257013146          6.42532865e-05     1.50099e+06     850869          4.01192e-06             
193     0.25710953        0.257077399          6.42693498e-05     1.51753e+06     859787          4.00979e-06             
194     0.257173807       0.257141669          6.42854171e-05     1.53407e+06     868698          4.00766e-06             
195     0.257238101       0.257205954          6.43014885e-05     1.55062e+06     877601          4.00554e-06             
196     0.25730241        0.257270255          6.43175639e-05     1.56717e+06     886497          4.00341e-06             
197     0.257366736       0.257334573          6.43336433e-05     1.58373e+06     895385          4.00128e-06             
198     0.257431077       0.257398907          6.43497267e-05     1.60028e+06     904265          3.99915e-06             
199     0.257495435       0.257463256          6.43658141e-05     1.61685e+06     913138          3.99702e-06             
200     0.257559809       0.257527622          6.43819055e-05     1.63341e+06     922003          3.99489e-06             
201     0.257624199       0.257592004          6.4398001e-05      1.64999e+06     930860          3.99276e-06             
202     0.257688605       0.257656402          6.44141005e-05     1.66596e+06     939373          3.99063e-06             
203     0.257753027       0.257720816          6.44302041e-05     1.6578e+06      934270          3.9885e-06              
204     0.257817466       0.257785246          6.44463116e-05     1.63705e+06     922086          3.98637e-06             
205     0.25788192        0.257849693          6.44624232e-05     1.6163e+06      909911          3.98425e-06             
206     0.25794639        0.257914155          6.44785388e-05     1.59554e+06     897746          3.98212e-06             
207     0.258010877       0.257978634          6.44946584e-05     1.57478e+06     885591          3.97999e-06             
208     0.25807538        0.258043128          6.45107821e-05     1.55401e+06     873445          3.97786e-06             
209     0.258139899       0.258107639          6.45269098e-05     1.53324e+06     861308          3.97573e-06             
210     0.258204434       0.258172166          6.45430415e-05     1.51246e+06     849181          3.9736e-06              
211     0.258268985       0.258236709          6.45591773e-05     1.49168e+06     837064          3.97147e-06             
212     0.258333552       0.258301268          6.45753171e-05     1.47089e+06     824956          3.96935e-06             
213     0.258398135       0.258365844          6.45914609e-05     1.4501e+06      812858          3.96722e-06             
214     0.258462735       0.258430435          6.46076088e-05     1.4293e+06      800770          3.96509e-06             
215     0.25852735        0.258495043          6.46237607e-05     1.4085e+06      788691          3.96296e-06             
216     0.258591982       0.258559666          6.46399166e-05     1.38769e+06     776622          3.96083e-06             
217     0.25865663        0.258624306          6.46560766e-05     1.36687e+06     764562          3.9587e-06              
218     0.258721294       0.258688962          6.46722406e-05     1.34743e+06     753284          3.95658e-06             
219     0.258785975       0.258753635          6.46884087e-05     1.37005e+06     765512          3.95445e-06             
220     0.258850671       0.258818323          6.47045808e-05     1.41244e+06     788778          3.95232e-06             
221     0.258915384       0.258883028          6.47207569e-05     1.45485e+06     812023          3.95019e-06             
222     0.258980113       0.258947748          6.47369371e-05     1.49727e+06     835250          3.94807e-06             
223     0.259044858       0.259012485          6.47531213e-05     1.5397e+06      858456          3.94594e-06             
224     0.259109619       0.259077238          6.47693096e-05     1.58214e+06     881643          3.94381e-06             
225     0.259174396       0.259142008          6.47855019e-05     1.62459e+06     904811          3.94168e-06             
226     0.25923919        0.259206793          6.48016983e-05     1.66706e+06     927958          3.93955e-06             
227     0.259304          0.259271595          6.48178987e-05     1.70953e+06     951087          3.93743e-06             
228     0.259368826       0.259336413          6.48341032e-05     1.75201e+06     974195          3.9353e-06              
229     0.259433668       0.259401247          6.48503117e-05     1.79451e+06     997284          3.93317e-06             
230     0.259498526       0.259466097          6.48665243e-05     1.83701e+06     1.02035e+06     3.93105e-06             
231     0.259563401       0.259530964          6.48827409e-05     1.87953e+06     1.0434e+06      3.92892e-06             
232     0.259628292       0.259595847          6.48989616e-05     1.92205e+06     1.06643e+06     3.92679e-06             
233     0.259693199       0.259660745          6.49151864e-05     1.96459e+06     1.08944e+06     3.92466e-06             
234     0.259758122       0.259725661          6.49314152e-05     2.00607e+06     1.11184e+06     3.92254e-06             
235     0.259823062       0.259790592          6.4947648e-05      2.02201e+06     1.12007e+06     3.92041e-06             
236     0.259888018       0.25985554           6.49638849e-05     2.0271e+06      1.12228e+06     3.91828e-06             
237     0.25995299        0.259920504          6.49801259e-05     2.0322e+06      1.1245e+06      3.91616e-06             
