#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
80      0.249948704       0.249917468          6.24793669e-05     463267          434375          5.06182e-06             
81      0.250011191       0.249979947          6.24949868e-05     460562          431805          5.06142e-06             
82      0.250073694       0.250042442          6.25106105e-05     457856          429235          5.06103e-06             
83      0.250136212       0.250104953          6.25262382e-05     455150          426664          5.06063e-06             
84      0.250198746       0.250167479          6.25418697e-05     452443          424093          5.06023e-06             
85      0.250261296       0.250230021          6.25575052e-05     449735          421522          5.05984e-06             
86      0.250323861       0.250292578          6.25731446e-05     447026          418951          5.05944e-06             
87      0.250386442       0.250355151          6.25887879e-05     444317          416379          5.05904e-06             
88      0.250449039       0.25041774           6.26044351e-05     441607          413807          5.05865e-06             
89      0.250511651       0.250480345          6.26200862e-05     438897          411235          5.05825e-06             
90      0.250574279       0.250542965          6.26357412e-05     436186          408662          5.05785e-06             
91      0.250636922       0.250605601          6.26514001e-05     438562          410856          5.05745e-06             
92      0.250699582       0.250668252          6.2667063e-05      446670          418419          5.05705e-06             
93      0.250762256       0.250730919          6.26827297e-05     454785          425987          5.05665e-06             
94      0.250824947       0.250793602          6.26984004e-05     462902          433556          5.05625e-06             
95      0.250887653       0.2508563            6.2714075e-05      471022          441126          5.05585e-06             
96      0.250950375       0.250919014          6.27297535e-05     479143          448696          5.05545e-06             
97      0.251013113       0.250981744          6.2745436e-05      487266          456267          5.05505e-06             
98      0.251075866       0.251044489          6.27611223e-05     495392          463839          5.05465e-06             
99      0.251138635       0.251107251          6.27768126e-05     503519          471411          5.05425e-06             
100     0.25120142        0.251170027          6.27925068e-05     511649          478984          5.05384e-06             
101     0.25126422        0.25123282           6.2808205e-05      519780          486558          5.05344e-06             
102     0.251327036       0.251295628          6.2823907e-05      527914          494132          5.05304e-06             
103     0.251389868       0.251358452          6.2839613e-05      536049          501707          5.05264e-06             
104     0.251452715       0.251421292          6.28553229e-05     544187          509282          5.05223e-06             
105     0.251515578       0.251484147          6.28710367e-05     552327          516859          5.05183e-06             
106     0.251578457       0.251547018          6.28867545e-05     560468          524436          5.05142e-06             
107     0.251641352       0.251609905          6.29024762e-05     574581          537598          5.05102e-06             
108     0.251704262       0.251672807          6.29182018e-05     594680          556358          5.05062e-06             
109     0.251767188       0.251735725          6.29339313e-05     614783          575120          5.05021e-06             
110     0.25183013        0.251798659          6.29496648e-05     634891          593883          5.0498e-06              
111     0.251893088       0.251861609          6.29654022e-05     655005          612648          5.0494e-06              
112     0.251956061       0.251924574          6.29811436e-05     675123          631415          5.04899e-06             
113     0.25201905        0.251987555          6.29968889e-05     695246          650183          5.04859e-06             
114     0.252082055       0.252050552          6.30126381e-05     715375          668953          5.04818e-06             
115     0.252145075       0.252113565          6.30283913e-05     735508          687724          5.04777e-06             
116     0.252208112       0.252176593          6.30441484e-05     755647          706497          5.04736e-06             
117     0.252271164       0.252239638          6.30599094e-05     775790          725272          5.04695e-06             
118     0.252334231       0.252302697          6.30756744e-05     795939          744048          5.04655e-06             
119     0.252397315       0.252365773          6.30914433e-05     816093          762826          5.04614e-06             
120     0.252460414       0.252428865          6.31072161e-05     836251          781606          5.04573e-06             
121     0.252523529       0.252491972          6.31229929e-05     856415          800387          5.04532e-06             
122     0.25258666        0.252555095          6.31387737e-05     876609          819193          5.04491e-06             
123     0.252649807       0.252618234          6.31545584e-05     927665          866834          5.0445e-06              
124     0.252712969       0.252681388          6.3170347e-05      1.00623e+06     940175          5.04409e-06             
125     0.252776148       0.252744558          6.31861396e-05     1.08482e+06     1.01352e+06     5.04368e-06             
126     0.252839342       0.252807745          6.32019362e-05     1.16343e+06     1.08687e+06     5.04326e-06             
127     0.252902551       0.252870947          6.32177366e-05     1.24206e+06     1.16023e+06     5.04285e-06             
128     0.252965777       0.252934164          6.32335411e-05     1.32071e+06     1.2336e+06      5.04244e-06             
129     0.253029019       0.252997398          6.32493495e-05     1.39937e+06     1.30697e+06     5.04203e-06             
130     0.253092276       0.253060647          6.32651618e-05     1.47806e+06     1.38035e+06     5.04162e-06             
131     0.253155549       0.253123912          6.32809781e-05     1.55677e+06     1.45373e+06     5.0412e-06              
132     0.253218838       0.253187193          6.32967983e-05     1.63549e+06     1.52712e+06     5.04079e-06             
133     0.253282142       0.25325049           6.33126225e-05     1.71424e+06     1.60052e+06     5.04037e-06             
134     0.253345463       0.253313803          6.33284507e-05     1.793e+06       1.67392e+06     5.03996e-06             
135     0.253408799       0.253377131          6.33442828e-05     1.87179e+06     1.74733e+06     5.03955e-06             
136     0.253472152       0.253440475          6.33601189e-05     1.9506e+06      1.82075e+06     5.03913e-06             
137     0.25353552        0.253503836          6.33759589e-05     2.02942e+06     1.89417e+06     5.03871e-06             
138     0.253598903       0.253567212          6.33918029e-05     2.10818e+06     1.96752e+06     5.0383e-06              
139     0.253662303       0.253630603          6.34076508e-05     2.16178e+06     2.01738e+06     5.03788e-06             
140     0.253725719       0.253694011          6.34235028e-05     2.19535e+06     2.04853e+06     5.03747e-06             
141     0.25378915        0.253757435          6.34393586e-05     2.22892e+06     2.07969e+06     5.03705e-06             
142     0.253852598       0.253820874          6.34552185e-05     2.2625e+06      2.11085e+06     5.03663e-06             
143     0.253916061       0.253884329          6.34710823e-05     2.29609e+06     2.14201e+06     5.03621e-06             
144     0.25397954        0.2539478            6.348695e-05       2.32969e+06     2.17317e+06     5.0358e-06              
145     0.254043035       0.254011287          6.35028218e-05     2.3633e+06      2.20433e+06     5.03538e-06             
146     0.254106545       0.25407479           6.35186975e-05     2.39691e+06     2.2355e+06      5.03496e-06             
147     0.254170072       0.254138309          6.35345772e-05     2.43053e+06     2.26667e+06     5.03454e-06             
148     0.254233614       0.254201843          6.35504608e-05     2.46417e+06     2.29785e+06     5.03412e-06             
149     0.254297173       0.254265394          6.35663484e-05     2.49781e+06     2.32902e+06     5.0337e-06              
150     0.254360747       0.25432896           6.358224e-05       2.53146e+06     2.3602e+06      5.03328e-06             
151     0.254424337       0.254392542          6.35981356e-05     2.56511e+06     2.39138e+06     5.03286e-06             
152     0.254487943       0.25445614           6.36140351e-05     2.59878e+06     2.42256e+06     5.03244e-06             
153     0.254551565       0.254519754          6.36299386e-05     2.63245e+06     2.45375e+06     5.03202e-06             
154     0.254615203       0.254583384          6.36458461e-05     2.66568e+06     2.48451e+06     5.0316e-06              
155     0.254678857       0.25464703           6.36617576e-05     2.63222e+06     2.45312e+06     5.03117e-06             
156     0.254742527       0.254710692          6.3677673e-05      2.55118e+06     2.37739e+06     5.03075e-06             
157     0.254806212       0.25477437           6.36935924e-05     2.47011e+06     2.30165e+06     5.03033e-06             
158     0.254869914       0.254838063          6.37095158e-05     2.38903e+06     2.22591e+06     5.0299e-06              
159     0.254933631       0.254901773          6.37254432e-05     2.30792e+06     2.15016e+06     5.02948e-06             
160     0.254997365       0.254965498          6.37413745e-05     2.22679e+06     2.0744e+06      5.02906e-06             
161     0.255061114       0.25502924           6.37573099e-05     2.14565e+06     1.99864e+06     5.02863e-06             
162     0.25512488        0.255092997          6.37732492e-05     2.06448e+06     1.92287e+06     5.02821e-06             
163     0.255188661       0.25515677           6.37891925e-05     1.98329e+06     1.8471e+06      5.02778e-06             
164     0.255252458       0.255220559          6.38051398e-05     1.90208e+06     1.77132e+06     5.02736e-06             
165     0.255316271       0.255284364          6.38210911e-05     1.82086e+06     1.69553e+06     5.02693e-06             
166     0.2553801         0.255348186          6.38370464e-05     1.73961e+06     1.61974e+06     5.02651e-06             
167     0.255443945       0.255412023          6.38530056e-05     1.65834e+06     1.54394e+06     5.02608e-06             
168     0.255507806       0.255475876          6.38689689e-05     1.57705e+06     1.46813e+06     5.02565e-06             
169     0.255571683       0.255539745          6.38849361e-05     1.49574e+06     1.39232e+06     5.02522e-06             
170     0.255635576       0.25560363           6.39009074e-05     1.41485e+06     1.31691e+06     5.0248e-06              
171     0.255699485       0.25566753           6.39168826e-05     1.37145e+06     1.2764e+06      5.02437e-06             
172     0.25576341        0.255731447          6.39328618e-05     1.35209e+06     1.25828e+06     5.02394e-06             
173     0.255827351       0.25579538           6.3948845e-05      1.33273e+06     1.24015e+06     5.02351e-06             
174     0.255891307       0.255859329          6.39648323e-05     1.31336e+06     1.22203e+06     5.02308e-06             
175     0.25595528        0.255923294          6.39808235e-05     1.29398e+06     1.2039e+06      5.02265e-06             
176     0.256019269       0.255987275          6.39968187e-05     1.27461e+06     1.18577e+06     5.02222e-06             
177     0.256083274       0.256051271          6.40128179e-05     1.25522e+06     1.16763e+06     5.02179e-06             
178     0.256147295       0.256115284          6.40288211e-05     1.23583e+06     1.1495e+06      5.02136e-06             
179     0.256211332       0.256179313          6.40448283e-05     1.21644e+06     1.13136e+06     5.02093e-06             
180     0.256275384       0.256243358          6.40608395e-05     1.19704e+06     1.11323e+06     5.0205e-06              
181     0.256339453       0.256307419          6.40768547e-05     1.17764e+06     1.09509e+06     5.02007e-06             
182     0.256403538       0.256371496          6.40928739e-05     1.15823e+06     1.07695e+06     5.01964e-06             
183     0.256467639       0.256435589          6.41088971e-05     1.13882e+06     1.05881e+06     5.0192e-06              
184     0.256531756       0.256499697          6.41249244e-05     1.1194e+06      1.04067e+06     5.01877e-06             
185     0.256595889       0.256563822          6.41409556e-05     1.09998e+06     1.02252e+06     5.01834e-06             
186     0.256660038       0.256627963          6.41569908e-05     1.08091e+06     1.00471e+06     5.0179e-06              
