#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
76      0.249698911       0.249667706          6.24169266e-05     636207          90987.6         1.0361e-06              
77      0.249761336       0.249730123          6.24325308e-05     632581          90469           1.0361e-06              
78      0.249823776       0.249792556          6.2448139e-05      628953          89950.2         1.0361e-06              
79      0.249886232       0.249855004          6.2463751e-05      625325          89431.3         1.0361e-06              
80      0.249948704       0.249917468          6.24793669e-05     621696          88912.2         1.0361e-06              
81      0.250011191       0.249979947          6.24949868e-05     618065          88393.1         1.0361e-06              
82      0.250073694       0.250042442          6.25106105e-05     614434          87873.8         1.0361e-06              
83      0.250136212       0.250104953          6.25262382e-05     610802          87354.3         1.0361e-06              
84      0.250198746       0.250167479          6.25418697e-05     607169          86834.8         1.0361e-06              
85      0.250261296       0.250230021          6.25575052e-05     603536          86315.1         1.0361e-06              
86      0.250323861       0.250292578          6.25731446e-05     599901          85795.3         1.0361e-06              
87      0.250386442       0.250355151          6.25887879e-05     596265          85275.3         1.0361e-06              
88      0.250449039       0.25041774           6.26044351e-05     592629          84755.2         1.0361e-06              
89      0.250511651       0.250480345          6.26200862e-05     588991          84235           1.0361e-06              
90      0.250574279       0.250542965          6.26357412e-05     585353          83714.7         1.0361e-06              
91      0.250636922       0.250605601          6.26514001e-05     588541          84170.7         1.0361e-06              
92      0.250699582       0.250668252          6.2667063e-05      599423          85726.8         1.0361e-06              
93      0.250762256       0.250730919          6.26827297e-05     610313          87284.3         1.0361e-06              
94      0.250824947       0.250793602          6.26984004e-05     621206          88842.3         1.0361e-06              
95      0.250887653       0.2508563            6.2714075e-05      632102          90400.5         1.0361e-06              
96      0.250950375       0.250919014          6.27297535e-05     643001          91959.2         1.0361e-06              
97      0.251013113       0.250981744          6.2745436e-05      653902          93518.3         1.0361e-06              
98      0.251075866       0.251044489          6.27611223e-05     664807          95077.8         1.0361e-06              
99      0.251138635       0.251107251          6.27768126e-05     675713          96637.6         1.0361e-06              
100     0.25120142        0.251170027          6.27925068e-05     686623          98197.9         1.0361e-06              
101     0.25126422        0.25123282           6.2808205e-05      697535          99758.5         1.0361e-06              
102     0.251327036       0.251295628          6.2823907e-05      708450          101320          1.0361e-06              
103     0.251389868       0.251358452          6.2839613e-05      719368          102881          1.0361e-06              
104     0.251452715       0.251421292          6.28553229e-05     730289          104443          1.0361e-06              
105     0.251515578       0.251484147          6.28710367e-05     741212          106005          1.0361e-06              
106     0.251578457       0.251547018          6.28867545e-05     752138          107568          1.0361e-06              
107     0.251641352       0.251609905          6.29024762e-05     771077          110276          1.0361e-06              
108     0.251704262       0.251672807          6.29182018e-05     798049          114133          1.0361e-06              
109     0.251767188       0.251735725          6.29339313e-05     825027          117992          1.0361e-06              
110     0.25183013        0.251798659          6.29496648e-05     852012          121851          1.0361e-06              
111     0.251893088       0.251861609          6.29654022e-05     879004          125711          1.0361e-06              
112     0.251956061       0.251924574          6.29811436e-05     906002          129573          1.0361e-06              
113     0.25201905        0.251987555          6.29968889e-05     933007          133435          1.0361e-06              
114     0.252082055       0.252050552          6.30126381e-05     960019          137298          1.0361e-06              
