#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
80      0.249948704       0.249917468          6.24793669e-05     474074          352587          4.10873e-06             
81      0.250011191       0.249979947          6.24949868e-05     471306          350426          4.10754e-06             
82      0.250073694       0.250042442          6.25106105e-05     468537          348266          4.10634e-06             
83      0.250136212       0.250104953          6.25262382e-05     465768          346107          4.10515e-06             
84      0.250198746       0.250167479          6.25418697e-05     462997          343948          4.10395e-06             
85      0.250261296       0.250230021          6.25575052e-05     460226          341790          4.10276e-06             
86      0.250323861       0.250292578          6.25731446e-05     457455          339633          4.10156e-06             
87      0.250386442       0.250355151          6.25887879e-05     454682          337476          4.10037e-06             
88      0.250449039       0.25041774           6.26044351e-05     451909          335320          4.09917e-06             
89      0.250511651       0.250480345          6.26200862e-05     449136          333164          4.09797e-06             
90      0.250574279       0.250542965          6.26357412e-05     446361          331010          4.09677e-06             
91      0.250636922       0.250605601          6.26514001e-05     448793          332715          4.09557e-06             
92      0.250699582       0.250668252          6.2667063e-05      457090          338767          4.09437e-06             
93      0.250762256       0.250730919          6.26827297e-05     465395          344821          4.09317e-06             
94      0.250824947       0.250793602          6.26984004e-05     473701          350873          4.09197e-06             
95      0.250887653       0.2508563            6.2714075e-05      482010          356922          4.09077e-06             
96      0.250950375       0.250919014          6.27297535e-05     490321          362970          4.08957e-06             
97      0.251013113       0.250981744          6.2745436e-05      498634          369015          4.08837e-06             
98      0.251075866       0.251044489          6.27611223e-05     506949          375058          4.08717e-06             
99      0.251138635       0.251107251          6.27768126e-05     515266          381099          4.08596e-06             
100     0.25120142        0.251170027          6.27925068e-05     523585          387138          4.08476e-06             
101     0.25126422        0.25123282           6.2808205e-05      531906          393174          4.08355e-06             
102     0.251327036       0.251295628          6.2823907e-05      540229          399209          4.08235e-06             
103     0.251389868       0.251358452          6.2839613e-05      548555          405241          4.08114e-06             
104     0.251452715       0.251421292          6.28553229e-05     556882          411272          4.07994e-06             
105     0.251515578       0.251484147          6.28710367e-05     565211          417300          4.07873e-06             
106     0.251578457       0.251547018          6.28867545e-05     573543          423326          4.07752e-06             
107     0.251641352       0.251609905          6.29024762e-05     587985          433857          4.07631e-06             
108     0.251704262       0.251672807          6.29182018e-05     608552          448899          4.07511e-06             
109     0.251767188       0.251735725          6.29339313e-05     629125          463937          4.0739e-06              
110     0.25183013        0.251798659          6.29496648e-05     649702          478969          4.07269e-06             
111     0.251893088       0.251861609          6.29654022e-05     670285          493996          4.07148e-06             
112     0.251956061       0.251924574          6.29811436e-05     690872          509018          4.07027e-06             
