#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
80      0.249948704       0.249917468          6.24793669e-05     315152          203743          2.37424e-06             
81      0.250011191       0.249979947          6.24949868e-05     313312          202466          2.37322e-06             
82      0.250073694       0.250042442          6.25106105e-05     311471          201198          2.37229e-06             
83      0.250136212       0.250104953          6.25262382e-05     309630          199925          2.3713e-06              
84      0.250198746       0.250167479          6.25418697e-05     307788          198658          2.37036e-06             
85      0.250261296       0.250230021          6.25575052e-05     305946          197389          2.36941e-06             
86      0.250323861       0.250292578          6.25731446e-05     304104          196120          2.36844e-06             
87      0.250386442       0.250355151          6.25887879e-05     302261          194850          2.36745e-06             
88      0.250449039       0.25041774           6.26044351e-05     300417          193581          2.36647e-06             
89      0.250511651       0.250480345          6.26200862e-05     298574          192317          2.36553e-06             
90      0.250574279       0.250542965          6.26357412e-05     296729          191051          2.36456e-06             
91      0.250636922       0.250605601          6.26514001e-05     298345          192013          2.36359e-06             
92      0.250699582       0.250668252          6.2667063e-05      303861          195480          2.36259e-06             
93      0.250762256       0.250730919          6.26827297e-05     309382          198950          2.36162e-06             
94      0.250824947       0.250793602          6.26984004e-05     314904          202418          2.36065e-06             
95      0.250887653       0.2508563            6.2714075e-05      320427          205880          2.35965e-06             
96      0.250950375       0.250919014          6.27297535e-05     325952          209342          2.35865e-06             
97      0.251013113       0.250981744          6.2745436e-05      331478          212802          2.35766e-06             
98      0.251075866       0.251044489          6.27611223e-05     337006          216263          2.35671e-06             
99      0.251138635       0.251107251          6.27768126e-05     342535          219722          2.35575e-06             
100     0.25120142        0.251170027          6.27925068e-05     348065          223171          2.35472e-06             
101     0.25126422        0.25123282           6.2808205e-05      353597          226627          2.35377e-06             
102     0.251327036       0.251295628          6.2823907e-05      359130          230076          2.35278e-06             
103     0.251389868       0.251358452          6.2839613e-05      364665          233525          2.35181e-06             
104     0.251452715       0.251421292          6.28553229e-05     370200          236969          2.3508e-06              
105     0.251515578       0.251484147          6.28710367e-05     375738          240415          2.34984e-06             
106     0.251578457       0.251547018          6.28867545e-05     381276          243849          2.34878e-06             
107     0.251641352       0.251609905          6.29024762e-05     390877          249892          2.34787e-06             
108     0.251704262       0.251672807          6.29182018e-05     404550          258523          2.34687e-06             
109     0.251767188       0.251735725          6.29339313e-05     418226          267150          2.34588e-06             
110     0.25183013        0.251798659          6.29496648e-05     431905          275772          2.34489e-06             
111     0.251893088       0.251861609          6.29654022e-05     445588          284385          2.34388e-06             
112     0.251956061       0.251924574          6.29811436e-05     459274          292997          2.34289e-06             
113     0.25201905        0.251987555          6.29968889e-05     472963          301603          2.34191e-06             
114     0.252082055       0.252050552          6.30126381e-05     486656          310201          2.3409e-06              
115     0.252145075       0.252113565          6.30283913e-05     500353          318794          2.33989e-06             
116     0.252208112       0.252176593          6.30441484e-05     514053          327391          2.33895e-06             
117     0.252271164       0.252239638          6.30599094e-05     527756          335965          2.33788e-06             
118     0.252334231       0.252302697          6.30756744e-05     541463          344556          2.33697e-06             
119     0.252397315       0.252365773          6.30914433e-05     555173          353132          2.33599e-06             
120     0.252460414       0.252428865          6.31072161e-05     568886          361704          2.33501e-06             
121     0.252523529       0.252491972          6.31229929e-05     582603          370255          2.33394e-06             
122     0.25258666        0.252555095          6.31387737e-05     596341          378832          2.33299e-06             
123     0.252649807       0.252618234          6.31545584e-05     631073          400729          2.33202e-06             
