# Interpolated spectrum of TRAPPIST-1 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
2.188003e+02	1.053444e-14
2.196755e+02	4.954399e-14
2.205542e+02	2.359456e-14
2.214364e+02	3.152624e-13
2.223221e+02	2.150023e-14
2.232114e+02	9.346508e-13
2.241043e+02	1.710523e-13
2.250007e+02	2.749451e-12
2.259007e+02	4.938694e-13
2.268043e+02	1.041902e-12
2.277115e+02	1.434572e-12
2.286223e+02	1.138755e-12
2.295368e+02	5.151358e-12
2.304550e+02	1.551023e-13
2.313768e+02	5.653414e-12
2.323023e+02	3.065301e-12
2.332315e+02	1.246827e-11
2.341644e+02	2.479947e-11
2.351011e+02	8.747580e-13
2.360415e+02	4.238323e-11
2.369857e+02	5.127146e-13
2.379336e+02	4.966886e-11
2.388854e+02	2.390246e-11
2.398409e+02	2.818321e-10
2.408003e+02	3.580791e-10
2.417635e+02	1.651279e-11
2.427305e+02	6.101215e-10
2.437014e+02	2.333781e-10
2.446762e+02	1.588485e-09
2.456549e+02	2.975848e-10
2.466376e+02	2.102525e-10
2.476241e+02	5.211577e-11
2.486146e+02	1.505289e-12
2.496091e+02	1.247730e-10
2.506075e+02	1.879703e-10
2.516099e+02	9.870417e-11
2.526164e+02	4.338707e-11
2.536268e+02	1.515568e-09
2.546414e+02	1.518434e-09
2.556599e+02	8.644952e-09
2.566826e+02	1.058375e-08
2.577093e+02	1.226157e-08
2.587401e+02	6.348587e-09
2.597751e+02	1.707335e-08
2.608142e+02	1.046463e-08
2.618574e+02	7.295270e-08
2.629049e+02	1.945630e-07
2.639565e+02	2.102011e-07
2.650123e+02	2.063740e-07
2.660724e+02	1.258982e-07
2.671367e+02	1.483524e-07
2.682052e+02	1.469035e-07
2.692780e+02	7.301703e-08
2.703551e+02	1.295915e-07
2.714366e+02	1.586542e-08
2.725223e+02	9.962551e-09
2.736124e+02	1.675396e-08
2.747068e+02	1.587528e-08
2.758057e+02	4.565775e-08
2.769089e+02	1.248616e-07
2.780165e+02	9.137920e-08
2.791286e+02	7.565885e-08
2.802451e+02	4.179178e-08
2.813661e+02	2.227625e-08
2.824916e+02	8.866703e-09
2.836215e+02	2.492606e-09
2.847560e+02	3.281009e-10
2.858950e+02	5.766401e-10
2.870386e+02	4.326274e-09
2.881868e+02	2.041834e-08
2.893395e+02	6.509623e-08
2.904969e+02	1.523940e-07
2.916589e+02	2.547522e-07
2.928255e+02	3.702943e-07
2.939968e+02	2.673084e-07
2.951728e+02	2.033108e-07
2.963535e+02	3.495069e-07
2.975389e+02	3.080543e-07
2.987290e+02	5.481059e-07
2.999240e+02	3.714849e-07
3.011237e+02	9.499631e-07
3.023281e+02	2.402994e-07
3.035375e+02	1.879483e-06
3.047516e+02	2.138013e-06
3.059706e+02	3.911304e-06
3.071945e+02	1.906209e-05
3.084233e+02	4.141948e-05
3.096570e+02	3.620842e-05
3.108956e+02	7.906018e-05
3.121392e+02	9.079910e-05
3.133877e+02	1.192706e-04
3.146413e+02	1.474974e-04
3.158999e+02	1.724116e-04
3.171635e+02	2.353132e-04
3.184321e+02	1.278821e-04
3.197058e+02	8.535145e-05
3.209847e+02	2.310339e-04
3.222686e+02	2.710689e-04
3.235577e+02	2.359353e-04
3.248519e+02	4.194326e-04
3.261513e+02	4.876266e-04
3.274559e+02	6.671589e-04
3.287657e+02	6.724530e-04
3.300808e+02	2.561124e-04
3.314011e+02	7.445881e-04
3.327267e+02	1.055369e-03
3.340576e+02	9.598558e-04
3.353939e+02	8.600662e-04
3.367354e+02	8.872973e-04
3.380824e+02	9.809801e-04
3.394347e+02	1.346085e-03
3.407924e+02	1.151761e-03
3.421556e+02	8.094381e-04
3.435242e+02	1.266961e-04
3.448983e+02	1.720600e-04
3.462779e+02	2.447026e-04
3.476630e+02	1.111658e-04
3.490537e+02	1.117595e-04
3.504499e+02	1.094165e-03
3.518517e+02	8.858807e-04
3.532591e+02	1.812722e-03
3.546722e+02	2.755325e-03
3.560908e+02	7.749740e-04
3.575152e+02	3.187187e-04
3.589453e+02	1.207896e-03
3.603810e+02	1.898956e-03
3.618226e+02	1.220432e-03
3.632699e+02	1.286796e-03
3.647229e+02	1.008014e-03
3.661818e+02	2.747662e-03
3.676466e+02	1.015290e-03
3.691171e+02	9.867061e-04
3.705936e+02	2.061092e-04
3.720760e+02	2.239111e-05
3.735643e+02	2.530721e-05
3.750586e+02	9.646917e-05
3.765588e+02	7.829179e-04
3.780650e+02	2.765697e-03
3.795773e+02	1.515012e-03
3.810956e+02	1.901871e-03
3.826200e+02	2.695964e-04
3.841505e+02	8.655605e-04
3.856871e+02	7.767802e-05
3.872298e+02	3.372041e-04
3.887787e+02	1.958067e-04
3.903338e+02	6.520452e-04
3.918952e+02	1.021603e-03
3.934628e+02	2.012660e-03
3.950366e+02	5.644293e-03
3.966167e+02	6.029378e-03
3.982032e+02	8.837438e-03
3.997960e+02	8.968608e-03
4.013952e+02	1.182646e-02
4.030008e+02	1.365304e-02
4.046128e+02	5.995606e-03
4.062312e+02	9.016881e-03
4.078562e+02	8.995932e-03
4.094876e+02	1.021055e-02
4.111255e+02	1.035819e-02
4.127701e+02	7.914385e-03
4.144211e+02	5.918446e-03
4.160788e+02	4.953310e-03
4.177431e+02	2.541601e-03
4.194141e+02	1.126936e-03
4.210918e+02	2.494402e-04
4.227761e+02	5.802301e-05
4.244672e+02	3.298267e-04
4.261651e+02	1.077661e-03
4.278698e+02	2.382786e-03
4.295812e+02	3.594081e-03
4.312996e+02	5.585028e-03
4.330248e+02	8.351097e-03
4.347569e+02	1.144463e-02
4.364959e+02	8.938335e-03
4.382419e+02	6.840044e-03
4.399948e+02	1.219482e-02
4.417548e+02	1.477047e-02
4.435218e+02	1.050633e-02
4.452959e+02	1.282654e-02
4.470771e+02	1.446647e-02
4.488654e+02	1.654393e-02
4.506609e+02	2.038192e-02
4.524635e+02	1.984404e-02
4.542734e+02	2.115770e-02
4.560905e+02	2.239476e-02
4.579148e+02	2.589884e-02
4.597465e+02	1.521493e-02
4.615855e+02	2.734441e-02
4.634318e+02	1.606245e-02
4.652855e+02	2.303173e-02
4.671467e+02	2.211583e-02
4.690153e+02	2.553031e-02
4.708913e+02	3.293970e-02
4.727749e+02	2.852095e-02
4.746660e+02	3.341160e-02
4.765647e+02	1.680930e-02
4.784709e+02	1.085290e-02
4.803848e+02	1.467984e-02
4.823063e+02	1.681747e-02
4.842356e+02	2.423267e-02
4.861725e+02	2.636806e-02
4.881172e+02	3.793120e-02
4.900697e+02	2.458429e-02
4.920300e+02	3.615310e-02
4.939981e+02	4.989355e-02
4.959741e+02	2.561468e-02
4.979580e+02	2.979888e-02
4.999498e+02	2.597561e-02
5.019496e+02	2.176634e-02
5.039574e+02	3.152747e-02
5.059732e+02	2.187120e-02
5.079971e+02	2.384095e-02
5.100291e+02	1.828303e-02
5.120692e+02	1.684364e-02
5.141175e+02	1.511827e-02
5.161740e+02	1.156771e-02
5.182387e+02	6.903138e-03
5.203116e+02	1.301616e-02
5.223929e+02	3.464197e-02
