# Spectrum of GJ486 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
2.205542e+02	5.407348e-07
2.214364e+02	6.908137e-07
2.223221e+02	6.354443e-07
2.232114e+02	9.383033e-07
2.241043e+02	8.597812e-07
2.250007e+02	1.251338e-06
2.259007e+02	1.084726e-06
2.268043e+02	1.327517e-06
2.277115e+02	1.533513e-06
2.286223e+02	1.682152e-06
2.295368e+02	2.497951e-06
2.304550e+02	1.650829e-06
2.313768e+02	2.558992e-06
2.323023e+02	2.560297e-06
2.332315e+02	3.411811e-06
2.341644e+02	3.744263e-06
2.351011e+02	2.451979e-06
2.360415e+02	4.171923e-06
2.369857e+02	2.813775e-06
2.379336e+02	4.939273e-06
2.388854e+02	4.708942e-06
2.398409e+02	7.977397e-06
2.408003e+02	9.608107e-06
2.417635e+02	5.689142e-06
2.427305e+02	1.289915e-05
2.437014e+02	1.186859e-05
2.446762e+02	2.327628e-05
2.456549e+02	1.449830e-05
2.466376e+02	1.833684e-05
2.476241e+02	2.444156e-05
2.486146e+02	9.827592e-06
2.496091e+02	2.193532e-05
2.506075e+02	1.907053e-05
2.516099e+02	2.569126e-05
2.526164e+02	4.275293e-05
2.536268e+02	1.112879e-04
2.546414e+02	1.409943e-04
2.556599e+02	6.791853e-05
2.566826e+02	5.134626e-05
2.577093e+02	6.148651e-05
2.587401e+02	4.732887e-05
2.597751e+02	7.465022e-05
2.608142e+02	7.714669e-05
2.618574e+02	1.498826e-04
2.629049e+02	3.015699e-04
2.639565e+02	3.020766e-04
2.650123e+02	2.929198e-04
2.660724e+02	2.462409e-04
2.671367e+02	2.472089e-04
2.682052e+02	3.093512e-04
2.692780e+02	2.330270e-04
2.703551e+02	4.021534e-04
2.714366e+02	3.688822e-04
2.725223e+02	3.669605e-04
2.736124e+02	4.589232e-04
2.747068e+02	6.202388e-04
2.758057e+02	7.389307e-04
2.769089e+02	1.382400e-03
2.780165e+02	1.161289e-03
2.791286e+02	1.537818e-03
2.802451e+02	1.399860e-03
2.813661e+02	1.327576e-03
2.824916e+02	1.230054e-03
2.836215e+02	1.135585e-03
2.847560e+02	4.797292e-04
2.858950e+02	7.841486e-04
2.870386e+02	1.655840e-03
2.881868e+02	2.837043e-03
2.893395e+02	4.152700e-03
2.904969e+02	4.903785e-03
2.916589e+02	6.091958e-03
2.928255e+02	5.740315e-03
2.939968e+02	6.127359e-03
2.951728e+02	5.301314e-03
2.963535e+02	5.940070e-03
2.975389e+02	6.375438e-03
2.987290e+02	8.634646e-03
2.999240e+02	6.626110e-03
3.011237e+02	1.293524e-02
3.023281e+02	6.788449e-03
3.035375e+02	1.781338e-02
3.047516e+02	1.590516e-02
3.059706e+02	1.836313e-02
3.071945e+02	2.812204e-02
3.084233e+02	3.490754e-02
3.096570e+02	3.206316e-02
3.108956e+02	4.389357e-02
3.121392e+02	4.815183e-02
3.133877e+02	5.724142e-02
3.146413e+02	7.060646e-02
3.158999e+02	6.865337e-02
3.171635e+02	1.015474e-01
3.184321e+02	8.296627e-02
3.197058e+02	7.813070e-02
3.209847e+02	1.031493e-01
3.222686e+02	1.191969e-01
3.235577e+02	1.178549e-01
3.248519e+02	1.468898e-01
3.261513e+02	1.614627e-01
3.274559e+02	1.832384e-01
3.287657e+02	1.981225e-01
3.300808e+02	2.035862e-01
3.314011e+02	2.635491e-01
3.327267e+02	2.692216e-01
3.340576e+02	3.110284e-01
3.353939e+02	2.909265e-01
3.367354e+02	2.815632e-01
3.380824e+02	3.088019e-01
3.394347e+02	3.634682e-01
3.407924e+02	3.616655e-01
3.421556e+02	3.480634e-01
