# Spectrum of TRAPPIST-1 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
2.196755e+02	1.521005e-14
2.205542e+02	7.602950e-15
2.214364e+02	8.719935e-14
2.223221e+02	7.209766e-15
2.232114e+02	2.505776e-13
2.241043e+02	4.751017e-14
2.250007e+02	7.933674e-13
2.259007e+02	1.357258e-13
2.268043e+02	2.851275e-13
2.277115e+02	3.940569e-13
2.286223e+02	3.184479e-13
2.295368e+02	1.709750e-12
2.304550e+02	4.817865e-14
2.313768e+02	1.656184e-12
2.323023e+02	8.364446e-13
2.332315e+02	3.822905e-12
2.341644e+02	7.858897e-12
2.351011e+02	2.613171e-13
2.360415e+02	1.438692e-11
2.369857e+02	1.668176e-13
2.379336e+02	1.706418e-11
2.388854e+02	7.395087e-12
2.398409e+02	1.207221e-10
2.408003e+02	1.489417e-10
2.417635e+02	4.813633e-12
2.427305e+02	2.537795e-10
2.437014e+02	8.621709e-11
2.446762e+02	7.321876e-10
2.456549e+02	1.190476e-10
2.466376e+02	8.382016e-11
2.476241e+02	2.445547e-11
2.486146e+02	2.365971e-12
2.496091e+02	5.006996e-11
2.506075e+02	7.217426e-11
2.516099e+02	4.095246e-11
2.526164e+02	3.431234e-11
2.536268e+02	6.773344e-10
2.546414e+02	6.888885e-10
2.556599e+02	4.308923e-09
2.566826e+02	5.387467e-09
2.577093e+02	6.156803e-09
2.587401e+02	3.082850e-09
2.597751e+02	8.817997e-09
2.608142e+02	5.000430e-09
2.618574e+02	4.194748e-08
2.629049e+02	1.146286e-07
2.639565e+02	1.243653e-07
2.650123e+02	1.213414e-07
2.660724e+02	7.093703e-08
2.671367e+02	8.743939e-08
2.682052e+02	8.438140e-08
2.692780e+02	4.080096e-08
2.703551e+02	7.478378e-08
2.714366e+02	7.155260e-09
2.725223e+02	4.865487e-09
2.736124e+02	7.839284e-09
2.747068e+02	8.067835e-09
2.758057e+02	2.295062e-08
2.769089e+02	6.740435e-08
2.780165e+02	4.729130e-08
2.791286e+02	3.736332e-08
2.802451e+02	1.873655e-08
2.813661e+02	8.845801e-09
2.824916e+02	3.211702e-09
2.836215e+02	9.847219e-10
2.847560e+02	1.983509e-10
2.858950e+02	3.079818e-10
2.870386e+02	1.756849e-09
2.881868e+02	7.786669e-09
2.893395e+02	2.697558e-08
2.904969e+02	7.107622e-08
2.916589e+02	1.260499e-07
2.928255e+02	1.973486e-07
2.939968e+02	1.335403e-07
2.951728e+02	1.041486e-07
2.963535e+02	1.875600e-07
2.975389e+02	1.630412e-07
2.987290e+02	3.024744e-07
2.999240e+02	2.005127e-07
3.011237e+02	5.438400e-07
3.023281e+02	1.338327e-07
3.035375e+02	1.132541e-06
3.047516e+02	1.298570e-06
3.059706e+02	2.473483e-06
3.071945e+02	1.270487e-05
3.084233e+02	2.834111e-05
3.096570e+02	2.479244e-05
3.108956e+02	5.483545e-05
3.121392e+02	6.371880e-05
3.133877e+02	8.435976e-05
3.146413e+02	1.055449e-04
3.158999e+02	1.227160e-04
3.171635e+02	1.702185e-04
3.184321e+02	9.172072e-05
3.197058e+02	6.129828e-05
3.209847e+02	1.676355e-04
3.222686e+02	1.958414e-04
3.235577e+02	1.715069e-04
3.248519e+02	3.064681e-04
3.261513e+02	3.600160e-04
3.274559e+02	4.954919e-04
3.287657e+02	5.057722e-04
3.300808e+02	1.875666e-04
3.314011e+02	5.576161e-04
3.327267e+02	7.943398e-04
3.340576e+02	7.388439e-04
3.353939e+02	6.633953e-04
3.367354e+02	6.845994e-04
3.380824e+02	7.657693e-04
3.394347e+02	1.036708e-03
3.407924e+02	8.847147e-04
3.421556e+02	6.175498e-04
3.435242e+02	9.114637e-05
3.448983e+02	1.252653e-04
3.462779e+02	1.801198e-04
3.476630e+02	7.956372e-05
3.490537e+02	7.941637e-05
3.504499e+02	8.427994e-04
3.518517e+02	6.934118e-04
3.532591e+02	1.420929e-03
3.546722e+02	2.177945e-03
3.560908e+02	6.231548e-04
3.575152e+02	2.535538e-04
3.589453e+02	9.686685e-04
3.603810e+02	1.529899e-03
3.618226e+02	9.867764e-04
3.632699e+02	1.044099e-03
3.647229e+02	8.203734e-04
3.661818e+02	2.198013e-03
3.676466e+02	7.817464e-04
3.691171e+02	7.557765e-04
3.705936e+02	1.485335e-04
3.720760e+02	1.380266e-05
3.735643e+02	1.585458e-05
3.750586e+02	6.994671e-05
3.765588e+02	6.166670e-04
3.780650e+02	2.200919e-03
3.795773e+02	1.218589e-03
3.810956e+02	1.525193e-03
3.826200e+02	2.046922e-04
3.841505e+02	6.761703e-04
3.856871e+02	5.308826e-05
3.872298e+02	2.451039e-04
3.887787e+02	1.368846e-04
3.903338e+02	4.932333e-04
3.918952e+02	7.874470e-04
3.934628e+02	1.606740e-03
3.950366e+02	4.598714e-03
3.966167e+02	5.000843e-03
3.982032e+02	7.237967e-03
3.997960e+02	7.290253e-03
4.013952e+02	9.486163e-03
4.030008e+02	1.096178e-02
4.046128e+02	4.828097e-03
4.062312e+02	7.358220e-03
4.078562e+02	7.429314e-03
4.094876e+02	8.240654e-03
4.111255e+02	8.368374e-03
4.127701e+02	6.284982e-03
4.144211e+02	4.640185e-03
4.160788e+02	3.850755e-03
4.177431e+02	1.930474e-03
4.194141e+02	8.225427e-04
4.210918e+02	1.632054e-04
4.227761e+02	3.139887e-05
4.244672e+02	2.207120e-04
4.261651e+02	7.857077e-04
4.278698e+02	1.813676e-03
4.295812e+02	2.839693e-03
4.312996e+02	4.453630e-03
4.330248e+02	6.568831e-03
4.347569e+02	8.997550e-03
4.364959e+02	7.157327e-03
4.382419e+02	5.564967e-03
4.399948e+02	9.655107e-03
4.417548e+02	1.170742e-02
4.435218e+02	8.280174e-03
4.452959e+02	1.024935e-02
4.470771e+02	1.091165e-02
4.488654e+02	1.253733e-02
4.506609e+02	1.521283e-02
4.524635e+02	1.529902e-02
4.542734e+02	1.616375e-02
4.560905e+02	1.660392e-02
4.579148e+02	1.997953e-02
4.597465e+02	1.113732e-02
4.615855e+02	2.024521e-02
4.634318e+02	1.172753e-02
4.652855e+02	1.698508e-02
4.671467e+02	1.662073e-02
4.690153e+02	1.912837e-02
4.708913e+02	2.508090e-02
4.727749e+02	2.121059e-02
4.746660e+02	2.547492e-02
4.765647e+02	1.277149e-02
4.784709e+02	7.654728e-03
4.803848e+02	1.083395e-02
4.823063e+02	1.220589e-02
4.842356e+02	1.763252e-02
4.861725e+02	1.976286e-02
4.881172e+02	2.910009e-02
4.900697e+02	1.847005e-02
4.920300e+02	2.711802e-02
4.939981e+02	3.755013e-02
4.959741e+02	1.947138e-02
4.979580e+02	2.290599e-02
4.999498e+02	2.043547e-02
5.019496e+02	1.701297e-02
5.039574e+02	2.478520e-02
5.059732e+02	1.687481e-02
5.079971e+02	1.837719e-02
5.100291e+02	1.375587e-02
5.120692e+02	1.262586e-02
5.141175e+02	1.159959e-02
5.161740e+02	8.869332e-03
5.182387e+02	5.632766e-03
5.203116e+02	1.011504e-02
5.223929e+02	2.593829e-02
5.244824e+02	2.202400e-02
5.265804e+02	1.873947e-02
5.286867e+02	2.272282e-02
5.308014e+02	2.423456e-02
5.329246e+02	1.869923e-02
5.350563e+02	2.100444e-02
5.371966e+02	1.553738e-02
5.393453e+02	1.742077e-02
5.415027e+02	1.700772e-02
5.436687e+02	1.497130e-02
5.458434e+02	9.952934e-03
5.480268e+02	1.293558e-02
5.502189e+02	1.266903e-02
5.524198e+02	1.420416e-02
5.546295e+02	1.607129e-02
5.568480e+02	1.439469e-02
5.590754e+02	1.186407e-02
5.613117e+02	8.819721e-03
5.635569e+02	6.972284e-03
5.658111e+02	8.963600e-03
5.680744e+02	7.713212e-03
5.703467e+02	9.288092e-03
5.726281e+02	9.465214e-03
5.749186e+02	9.937260e-03
5.772183e+02	8.815284e-03
5.795271e+02	1.015221e-02
5.818452e+02	9.131881e-03
5.841726e+02	6.902316e-03
5.865093e+02	3.193518e-03
5.888553e+02	2.960839e-04
5.912108e+02	1.592707e-03
5.935756e+02	4.618023e-03
5.959499e+02	5.731349e-03
5.983337e+02	7.413926e-03
6.007270e+02	8.894525e-03
6.031300e+02	1.133523e-02
6.055425e+02	1.471415e-02
6.079646e+02	1.871504e-02
6.103965e+02	2.226622e-02
6.128381e+02	2.716572e-02
6.152894e+02	2.283871e-02
6.177506e+02	1.254190e-02
6.202216e+02	1.052553e-02
6.227025e+02	8.202976e-03
6.251933e+02	1.045828e-02
6.276941e+02	1.213934e-02
6.302048e+02	1.571661e-02
6.327257e+02	2.105920e-02
6.352566e+02	2.283872e-02
6.377976e+02	1.882261e-02
6.403488e+02	3.212555e-02
6.429102e+02	4.291273e-02
6.454818e+02	5.585175e-02
6.480637e+02	6.051761e-02
6.506560e+02	6.750139e-02
6.532586e+02	8.166062e-02
6.558717e+02	5.065727e-02
6.584951e+02	4.430658e-02
6.611291e+02	3.572395e-02
6.637736e+02	2.788176e-02
6.664287e+02	2.459081e-02
6.690945e+02	2.318152e-02
6.717708e+02	2.326130e-02
6.744579e+02	2.582089e-02
6.771557e+02	3.449383e-02
6.798644e+02	3.109150e-02
6.825838e+02	3.333992e-02
6.853142e+02	2.838722e-02
6.880554e+02	2.532656e-02
6.908076e+02	2.612812e-02
6.935709e+02	3.486488e-02
6.963452e+02	4.797275e-02
6.991305e+02	5.671243e-02
7.019271e+02	7.079558e-02
7.047348e+02	1.233171e-01
7.075537e+02	7.989605e-02
7.103839e+02	5.868177e-02
7.132255e+02	5.130565e-02
7.160784e+02	5.783997e-02
7.189427e+02	7.250780e-02
7.218184e+02	6.984710e-02
7.247057e+02	9.674092e-02
7.276045e+02	1.135005e-01
7.305150e+02	1.490480e-01
7.334370e+02	1.817905e-01
7.363708e+02	2.021130e-01
7.393162e+02	2.101096e-01
7.422735e+02	2.074151e-01
7.452426e+02	1.965506e-01
7.482236e+02	2.069791e-01
7.512165e+02	2.031816e-01
7.542213e+02	2.164750e-01
7.572382e+02	2.127490e-01
7.602672e+02	1.670739e-01
7.633082e+02	1.176509e-01
7.663615e+02	1.641134e-02
7.694269e+02	2.010760e-02
7.725046e+02	7.843779e-02
7.755946e+02	1.162584e-01
7.786970e+02	1.367058e-01
7.818118e+02	1.682486e-01
7.849391e+02	1.261888e-01
7.880788e+02	1.556563e-01
7.912311e+02	1.393208e-01
7.943961e+02	1.690534e-01
7.975736e+02	1.751610e-01
8.007639e+02	2.047201e-01
8.039670e+02	2.371181e-01
8.071829e+02	2.794949e-01
8.104116e+02	3.115866e-01
8.136532e+02	3.585379e-01
8.169078e+02	3.385611e-01
8.201755e+02	2.331801e-01
8.234562e+02	3.368126e-01
8.267500e+02	3.351549e-01
8.300570e+02	2.884867e-01
8.333772e+02	3.240117e-01
8.367107e+02	3.072855e-01
8.400576e+02	3.206099e-01
8.434178e+02	2.448232e-01
8.467915e+02	1.506782e-01
8.501787e+02	1.808359e-01
8.535794e+02	1.881598e-01
8.569937e+02	2.248095e-01
8.604217e+02	2.623448e-01
8.638633e+02	2.743912e-01
8.673188e+02	3.281784e-01
8.707881e+02	2.901829e-01
8.742712e+02	3.171689e-01
8.777683e+02	3.687944e-01
8.812794e+02	3.980823e-01
8.848045e+02	4.299726e-01
8.883437e+02	2.916467e-01
8.918971e+02	3.928792e-01
8.954647e+02	3.305997e-01
8.990465e+02	3.963254e-01
9.026427e+02	3.467153e-01
9.062533e+02	3.488460e-01
